fecha,intervalo_inicio,intervalo_observacion,duracion_min,numero_llegadas_intervalo,servidor
2026-08-31,2026-08-31 06:00:00,06:00-06:10,10,11,Servidor 1
2026-08-31,2026-08-31 06:10:00,06:10-06:20,10,13,Servidor 1
2026-08-31,2026-08-31 06:20:00,06:20-06:30,10,9,Servidor 1
2026-08-31,2026-08-31 06:30:00,06:30-06:40,10,11,Servidor 1
2026-08-31,2026-08-31 06:40:00,06:40-06:50,10,6,Servidor 1
2026-08-31,2026-08-31 06:50:00,06:50-07:00,10,1,Servidor 1
2026-08-31,2026-08-31 07:00:00,07:00-07:10,10,1,Servidor 1
2026-08-31,2026-08-31 07:10:00,07:10-07:20,10,5,Servidor 1
2026-08-31,2026-08-31 07:20:00,07:20-07:30,10,3,Servidor 1
2026-08-31,2026-08-31 07:30:00,07:30-07:40,10,7,Servidor 1
2026-08-31,2026-08-31 07:40:00,07:40-07:50,10,4,Servidor 1
2026-08-31,2026-08-31 07:50:00,07:50-08:00,10,4,Servidor 1
2026-08-31,2026-08-31 08:00:00,08:00-08:10,10,5,Servidor 1
2026-08-31,2026-08-31 08:10:00,08:10-08:20,10,2,Servidor 1
2026-08-31,2026-08-31 08:20:00,08:20-08:30,10,3,Servidor 1
