id_observacion,fecha,id_bus,hora_llegada,hora_inicio_servicio,hora_fin_servicio,hora_llegada_bus,hora_salida_bus,intervalo_observacion,numero_llegadas_intervalo,servidor,interarribo_min,tiempo_espera_min,tiempo_servicio_min,tiempo_sistema_min,observaciones
1,2026-08-31,1,2026-08-31 06:00:20,2026-08-31 06:03:00,2026-08-31 06:03:37,2026-08-31 06:03:00,2026-08-31 06:08:00,06:00-06:10,11,Servidor 1,,2.6667,0.6167,3.2833,
2,2026-08-31,1,2026-08-31 06:00:40,2026-08-31 06:03:37,2026-08-31 06:04:15,2026-08-31 06:03:00,2026-08-31 06:08:00,06:00-06:10,11,Servidor 1,0.3333,2.95,0.6333,3.5833,
3,2026-08-31,1,2026-08-31 06:01:00,2026-08-31 06:04:15,2026-08-31 06:04:52,2026-08-31 06:03:00,2026-08-31 06:08:00,06:00-06:10,11,Servidor 1,0.3333,3.25,0.6167,3.8667,
4,2026-08-31,1,2026-08-31 06:01:20,2026-08-31 06:04:52,2026-08-31 06:05:30,2026-08-31 06:03:00,2026-08-31 06:08:00,06:00-06:10,11,Servidor 1,0.3333,3.5333,0.6333,4.1667,
5,2026-08-31,1,2026-08-31 06:01:40,2026-08-31 06:05:30,2026-08-31 06:06:07,2026-08-31 06:03:00,2026-08-31 06:08:00,06:00-06:10,11,Servidor 1,0.3333,3.8333,0.6167,4.45,
6,2026-08-31,1,2026-08-31 06:02:00,2026-08-31 06:06:07,2026-08-31 06:06:45,2026-08-31 06:03:00,2026-08-31 06:08:00,06:00-06:10,11,Servidor 1,0.3333,4.1167,0.6333,4.75,
7,2026-08-31,1,2026-08-31 06:02:20,2026-08-31 06:06:45,2026-08-31 06:07:22,2026-08-31 06:03:00,2026-08-31 06:08:00,06:00-06:10,11,Servidor 1,0.3333,4.4167,0.6167,5.0333,
8,2026-08-31,1,2026-08-31 06:02:40,2026-08-31 06:07:22,2026-08-31 06:08:00,2026-08-31 06:03:00,2026-08-31 06:08:00,06:00-06:10,11,Servidor 1,0.3333,4.7,0.6333,5.3333,
9,2026-08-31,2,2026-08-31 06:08:37,2026-08-31 06:13:00,2026-08-31 06:13:17,2026-08-31 06:13:00,2026-08-31 06:15:00,06:00-06:10,11,Servidor 1,5.95,4.3833,0.2833,4.6667,
10,2026-08-31,2,2026-08-31 06:09:15,2026-08-31 06:13:17,2026-08-31 06:13:34,2026-08-31 06:13:00,2026-08-31 06:15:00,06:00-06:10,11,Servidor 1,0.6333,4.0333,0.2833,4.3167,
